party_std,party_display_name,party_family,bloc,color,aliases,valid_from,valid_to,comparability_note
AVS / Verdi,AVS / Verdi,ecologista,sinistra,#2f855a,Federazione dei Verdi,1946,,heuristic_party_parse
Lega,Lega,regionalista,centro-destra,#2e7d32,Lega Merid.D'It.,1946,,heuristic_party_parse
Federalismo-Pens.Uv.,Federalismo-Pens.Uv.,altro,altro,#64748b,Federalismo-Pens.Uv.,1946,,heuristic_party_parse
Lista Referendum,Lista Referendum,altro,altro,#64748b,Lista Referendum,1946,,heuristic_party_parse
Lega,Lega,regionalista,centro-destra,#2e7d32,Lega Alpina Lumbarda,1946,,heuristic_party_parse
Lega,Lega,regionalista,centro-destra,#2e7d32,La Lega Cas-Pens.,1946,,heuristic_party_parse
Pds,Pds,altro,altro,#64748b,Pds,1946,,heuristic_party_parse
Lista Pannella,Lista Pannella,altro,altro,#64748b,Lista Pannella,1946,,heuristic_party_parse
La Rete-Mov.Dem.,La Rete-Mov.Dem.,altro,altro,#64748b,La Rete-Mov.Dem.,1946,,heuristic_party_parse
Azione / IV,Azione / IV,liberale-riformista,centro,#fb923c,Rifondazione Comunista,1946,,heuristic_party_parse
Part.Europa 2000,Part.Europa 2000,altro,altro,#64748b,Part.Europa 2000,1946,,heuristic_party_parse
Cpa,Cpa,altro,altro,#64748b,Cpa,1946,,heuristic_party_parse
Lg.Lomb.Eur.T.Lib.,Lg.Lomb.Eur.T.Lib.,altro,altro,#64748b,Lg.Lomb.Eur.T.Lib.,1946,,heuristic_party_parse
P.Popolare Italiano,P.Popolare Italiano,altro,altro,#64748b,P.Popolare Italiano,1946,,heuristic_party_parse
Alleanza Democratica,Alleanza Democratica,altro,altro,#64748b,Alleanza Democratica,1946,,heuristic_party_parse
Alleanza Nazionale,Alleanza Nazionale,altro,altro,#64748b,Alleanza Nazionale,1946,,heuristic_party_parse
Lega,Lega,regionalista,centro-destra,#2e7d32,Lega Nord,1946,,heuristic_party_parse
Forza Italia,Forza Italia,liberal-conservatore,centro-destra,#1976d2,Forza Italia,1946,,heuristic_party_parse
Lg.Angela Bossi,Lg.Angela Bossi,altro,altro,#64748b,Lg.Angela Bossi,1946,,heuristic_party_parse
Patto Segni,Patto Segni,altro,altro,#64748b,Patto Segni,1946,,heuristic_party_parse
Pannella-Sgarbi,Pannella-Sgarbi,altro,altro,#64748b,Pannella-Sgarbi,1946,,heuristic_party_parse
Ccd-Cdu,Ccd-Cdu,altro,altro,#64748b,Ccd-Cdu,1946,,heuristic_party_parse
Mov.Soc.Tricolore,Mov.Soc.Tricolore,altro,altro,#64748b,Mov.Soc.Tricolore,1946,,heuristic_party_parse
Rinnovamento It-Dini,Rinnovamento It-Dini,altro,altro,#64748b,Rinnovamento It-Dini,1946,,heuristic_party_parse
Pop-Svp-Pri-Ud-Prodi,Pop-Svp-Pri-Ud-Prodi,altro,altro,#64748b,Pop-Svp-Pri-Ud-Prodi,1946,,heuristic_party_parse
Part.Umanista,Part.Umanista,altro,altro,#64748b,Part.Umanista,1946,,heuristic_party_parse
Abolizione Scorporo,Abolizione Scorporo,altro,altro,#64748b,Abolizione Scorporo,1946,,heuristic_party_parse
Comunisti Italiani,Comunisti Italiani,altro,altro,#64748b,Comunisti Italiani,1946,,heuristic_party_parse
Il Girasole,Il Girasole,altro,altro,#64748b,Il Girasole,1946,,heuristic_party_parse
Democrazia Europea,Democrazia Europea,altro,altro,#64748b,Democrazia Europea,1946,,heuristic_party_parse
Democratici Sinistra,Democratici Sinistra,altro,altro,#64748b,Democratici Sinistra,1946,,heuristic_party_parse
La Margherita,La Margherita,altro,altro,#64748b,La Margherita,1946,,heuristic_party_parse
Pannella-Bonino,Pannella-Bonino,altro,altro,#64748b,Pannella-Bonino,1946,,heuristic_party_parse
Lista di Pietro,Lista di Pietro,altro,altro,#64748b,Lista di Pietro,1946,,heuristic_party_parse
Paese Nuovo,Paese Nuovo,altro,altro,#64748b,Paese Nuovo,1946,,heuristic_party_parse
Nuovo Psi,Nuovo Psi,altro,altro,#64748b,Nuovo Psi,1946,,heuristic_party_parse
Libdem.Basta,Libdem.Basta,altro,altro,#64748b,Libdem.Basta,1946,,heuristic_party_parse
Fiamma Tricolore,Fiamma Tricolore,altro,altro,#64748b,Fiamma Tricolore,1946,,heuristic_party_parse
No Euro,No Euro,altro,altro,#64748b,No Euro,1946,,heuristic_party_parse
U.D.Eur Popolari,U.D.Eur Popolari,altro,altro,#64748b,U.D.Eur Popolari,1946,,heuristic_party_parse
La Rosa Nel Pugno,La Rosa Nel Pugno,altro,altro,#64748b,La Rosa Nel Pugno,1946,,heuristic_party_parse
Di Pietro Italia dei Valori,Di Pietro Italia dei Valori,altro,altro,#64748b,Di Pietro Italia dei Valori,1946,,heuristic_party_parse
L'Ulivo,L'Ulivo,altro,altro,#64748b,L'Ulivo,1946,,heuristic_party_parse
Unione di Centro,Unione di Centro,altro,altro,#64748b,Unione di Centro,1946,,heuristic_party_parse
Dem.Crist.-Nuovo Psi,Dem.Crist.-Nuovo Psi,altro,altro,#64748b,Dem.Crist.-Nuovo Psi,1946,,heuristic_party_parse
Alternativa Sociale Mussolini,Alternativa Sociale Mussolini,altro,altro,#64748b,Alternativa Sociale Mussolini,1946,,heuristic_party_parse
S.O.S. Italia,S.O.S. Italia,altro,altro,#64748b,S.O.S. Italia,1946,,heuristic_party_parse
Forza Nuova,Forza Nuova,altro,altro,#64748b,Forza Nuova,1946,,heuristic_party_parse
P.Liberale Italiano,P.Liberale Italiano,altro,altro,#64748b,P.Liberale Italiano,1946,,heuristic_party_parse
Lega,Lega,regionalista,centro-destra,#2e7d32,Lega Per l'Autonomia All.Lomb. Lega Pens,1946,,heuristic_party_parse
La Destra - Fiamma Tricolore,La Destra - Fiamma Tricolore,altro,altro,#64748b,La Destra - Fiamma Tricolore,1946,,heuristic_party_parse
Per Il Bene Comune,Per Il Bene Comune,altro,altro,#64748b,Per Il Bene Comune,1946,,heuristic_party_parse
