normalized_name,normalized_province,geometry_id,province,province_code
correzzana,monza e brianza,108022,Monza e Brianza,108
corrido,como,013077,Como,13
corsico,milano,015093,Milano,215
corte de cortesi con cignone,cremona,019032,Cremona,19
corte de frati,cremona,019033,Cremona,19
corte franca,brescia,017062,Brescia,17
corte palasio,lodi,098024,Lodi,98
corteno golgi,brescia,017063,Brescia,17
cortenova,lecco,097025,Lecco,97
cortenuova,bergamo,016083,Bergamo,16
corteolona e genzone,pavia,018192,Pavia,18
corvino san quirico,pavia,018057,Pavia,18
corzano,brescia,017064,Brescia,17
cosio valtellino,sondrio,014024,Sondrio,14
costa de nobili,pavia,018058,Pavia,18
costa di mezzate,bergamo,016084,Bergamo,16
costa masnaga,lecco,097026,Lecco,97
costa serina,bergamo,016247,Bergamo,16
costa valle imagna,bergamo,016085,Bergamo,16
costa volpino,bergamo,016086,Bergamo,16
covo,bergamo,016087,Bergamo,16
cozzo,pavia,018059,Pavia,18
crandola valsassina,lecco,097027,Lecco,97
credaro,bergamo,016088,Bergamo,16
credera rubbiano,cremona,019034,Cremona,19
crema,cremona,019035,Cremona,19
cremella,lecco,097028,Lecco,97
cremenaga,varese,012056,Varese,12
cremeno,lecco,097029,Lecco,97
cremia,como,013083,Como,13
cremona,cremona,019036,Cremona,19
cremosano,cremona,019037,Cremona,19
crespiatica,lodi,098025,Lodi,98
crosio della valle,varese,012057,Varese,12
crotta d adda,cremona,019038,Cremona,19
cuasso al monte,varese,012058,Varese,12
cucciago,como,013084,Como,13
cuggiono,milano,015096,Milano,215
cugliate fabiasco,varese,012059,Varese,12
cumignano sul naviglio,cremona,019039,Cremona,19
cunardo,varese,012060,Varese,12
cura carpignano,pavia,018060,Pavia,18
curiglia con monteviasco,varese,012061,Varese,12
curno,bergamo,016089,Bergamo,16
curtatone,mantova,020021,Mantova,20
cusago,milano,015097,Milano,215
cusano milanino,milano,015098,Milano,215
cusino,como,013085,Como,13
cusio,bergamo,016090,Bergamo,16
cuveglio,varese,012062,Varese,12
cuvio,varese,012063,Varese,12
dairago,milano,015099,Milano,215
dalmine,bergamo,016091,Bergamo,16
darfo boario terme,brescia,017065,Brescia,17
daverio,varese,012064,Varese,12
dazio,sondrio,014025,Sondrio,14
delebio,sondrio,014026,Sondrio,14
dello,brescia,017066,Brescia,17
derovere,cremona,019040,Cremona,19
dervio,lecco,097030,Lecco,97
desenzano del garda,brescia,017067,Brescia,17
desio,monza e brianza,108023,Monza e Brianza,108
dizzasco,como,013087,Como,13
dolzago,lecco,097031,Lecco,97
domaso,como,013089,Como,13
dongo,como,013090,Como,13
dorio,lecco,097032,Lecco,97
dorno,pavia,018061,Pavia,18
dosolo,mantova,020022,Mantova,20
dossena,bergamo,016092,Bergamo,16
dosso del liro,como,013092,Como,13
dovera,cremona,019041,Cremona,19
dresano,milano,015101,Milano,215
dubino,sondrio,014027,Sondrio,14
dumenza,varese,012065,Varese,12
duno,varese,012066,Varese,12
edolo,brescia,017068,Brescia,17
ello,lecco,097033,Lecco,97
endine gaiano,bergamo,016093,Bergamo,16
entratico,bergamo,016094,Bergamo,16
erba,como,013095,Como,13
erbusco,brescia,017069,Brescia,17
erve,lecco,097034,Lecco,97
esine,brescia,017070,Brescia,17
esino lario,lecco,097035,Lecco,97
eupilio,como,013097,Como,13
faedo valtellino,sondrio,014028,Sondrio,14
faggeto lario,como,013098,Como,13
fagnano olona,varese,012067,Varese,12
faloppio,como,013099,Como,13
fara gera d adda,bergamo,016096,Bergamo,16
fara olivana con sola,bergamo,016097,Bergamo,16
fenegra2,como,013100,Como,13
ferno,varese,012068,Varese,12
ferrera di varese,varese,012069,Varese,12
ferrera erbognone,pavia,018062,Pavia,18
fiesco,cremona,019043,Cremona,19
fiesse,brescia,017071,Brescia,17
figino serenza,como,013101,Como,13
filago,bergamo,016098,Bergamo,16
filighera,pavia,018063,Pavia,18
fino del monte,bergamo,016099,Bergamo,16
fino mornasco,como,013102,Como,13
fiorano al serio,bergamo,016100,Bergamo,16
flero,brescia,017072,Brescia,17
fombio,lodi,098026,Lodi,98
fontanella,bergamo,016101,Bergamo,16
fonteno,bergamo,016102,Bergamo,16
foppolo,bergamo,016103,Bergamo,16
forcola,sondrio,014029,Sondrio,14
foresto sparso,bergamo,016104,Bergamo,16
formigara,cremona,019044,Cremona,19
fornovo san giovanni,bergamo,016105,Bergamo,16
fortunago,pavia,018064,Pavia,18
frascarolo,pavia,018065,Pavia,18
fuipiano valle imagna,bergamo,016106,Bergamo,16
fusine,sondrio,014030,Sondrio,14
gabbioneta binanuova,cremona,019045,Cremona,19
gadesco pieve delmona,cremona,019046,Cremona,19
gaggiano,milano,015103,Milano,215
galbiate,lecco,097036,Lecco,97
galgagnano,lodi,098027,Lodi,98
gallarate,varese,012070,Varese,12
galliate lombardo,varese,012071,Varese,12
galliavola,pavia,018066,Pavia,18
gambara,brescia,017073,Brescia,17
gambarana,pavia,018067,Pavia,18
gambola2,pavia,018068,Pavia,18
gandellino,bergamo,016107,Bergamo,16
gandino,bergamo,016108,Bergamo,16
gandosso,bergamo,016109,Bergamo,16
garbagnate milanese,milano,015105,Milano,215
garbagnate monastero,lecco,097037,Lecco,97
gardone riviera,brescia,017074,Brescia,17
gardone val trompia,brescia,017075,Brescia,17
gargnano,brescia,017076,Brescia,17
garlasco,pavia,018069,Pavia,18
garlate,lecco,097038,Lecco,97
garzeno,como,013106,Como,13
gavardo,brescia,017077,Brescia,17
gaverina terme,bergamo,016110,Bergamo,16
gavirate,varese,012072,Varese,12
gazoldo degli ippoliti,mantova,020024,Mantova,20
gazzada schianno,varese,012073,Varese,12
gazzaniga,bergamo,016111,Bergamo,16
gazzuolo,mantova,020025,Mantova,20
gemonio,varese,012074,Varese,12
genivolta,cremona,019047,Cremona,19
gera lario,como,013107,Como,13
gerenzago,pavia,018071,Pavia,18
gerenzano,varese,012075,Varese,12
germignaga,varese,012076,Varese,12
gerola alta,sondrio,014031,Sondrio,14
gerre de caprioli,cremona,019048,Cremona,19
gessate,milano,015106,Milano,215
ghedi,brescia,017078,Brescia,17
ghisalba,bergamo,016113,Bergamo,16
gianico,brescia,017079,Brescia,17
giussago,pavia,018072,Pavia,18
giussano,monza e brianza,108024,Monza e Brianza,108
godiasco salice terme,pavia,018073,Pavia,18
goito,mantova,020026,Mantova,20
golasecca,varese,012077,Varese,12
golferenzo,pavia,018074,Pavia,18
gombito,cremona,019049,Cremona,19
gonzaga,mantova,020027,Mantova,20
gordona,sondrio,014032,Sondrio,14
gorgonzola,milano,015108,Milano,215
gorla maggiore,varese,012078,Varese,12
gorla minore,varese,012079,Varese,12
gorlago,bergamo,016114,Bergamo,16
gorle,bergamo,016115,Bergamo,16
gornate olona,varese,012080,Varese,12
gorno,bergamo,016116,Bergamo,16
gottolengo,brescia,017080,Brescia,17
graffignana,lodi,098028,Lodi,98
grandate,como,013110,Como,13
grandola ed uniti,como,013111,Como,13
grantola,varese,012081,Varese,12
grassobbio,bergamo,016117,Bergamo,16
gravedona ed uniti,como,013249,Como,13
gravellona lomellina,pavia,018075,Pavia,18
grezzago,milano,015110,Milano,215
griante,como,013113,Como,13
gromo,bergamo,016118,Bergamo,16
grone,bergamo,016119,Bergamo,16
grontardo,cremona,019050,Cremona,19
gropello cairoli,pavia,018076,Pavia,18
grosio,sondrio,014033,Sondrio,14
grosotto,sondrio,014034,Sondrio,14
grumello cremonese ed uniti,cremona,019051,Cremona,19
grumello del monte,bergamo,016120,Bergamo,16
guanzate,como,013114,Como,13
guardamiglio,lodi,098029,Lodi,98
gudo visconti,milano,015112,Milano,215
guidizzolo,mantova,020028,Mantova,20
gussago,brescia,017081,Brescia,17
gussola,cremona,019052,Cremona,19
idro,brescia,017082,Brescia,17
imbersago,lecco,097039,Lecco,97
inarzo,varese,012082,Varese,12
incudine,brescia,017083,Brescia,17
induno olona,varese,012083,Varese,12
introbio,lecco,097040,Lecco,97
inverigo,como,013118,Como,13
inverno e monteleone,pavia,018077,Pavia,18
inveruno,milano,015113,Milano,215
inzago,milano,015114,Milano,215
irma,brescia,017084,Brescia,17
iseo,brescia,017085,Brescia,17
isola di fondra,bergamo,016121,Bergamo,16
isola dovarese,cremona,019053,Cremona,19
isorella,brescia,017086,Brescia,17
ispra,varese,012084,Varese,12
isso,bergamo,016122,Bergamo,16
izano,cremona,019054,Cremona,19
jerago con orago,varese,012085,Varese,12
