election_key,election_year,election_date,municipality_id,municipality_name,province,region,geometry_id,territorial_mode,territorial_status,turnout_pct,electors,voters,valid_votes,total_votes,first_party_std,first_party_share,second_party_std,second_party_share,first_second_margin,dominant_block,comparability_note,completeness_flag
assemblea_costituente_1946,1946,1946-06-02,016049,Canonica d'Adda,Bergamo,Lombardia,016049,historical,observed_opendata_zip,96.1916461916462,1628.0,1566.0,1488,1566,DC,42.33870967741936,Psiup,32.594086021505376,9.744623655913983,centro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
assemblea_costituente_1946,1946,1946-06-02,016050,Capizzone,Bergamo,Lombardia,016050,historical,observed_opendata_zip,81.91126279863481,586.0,480.0,418,480,DC,44.73684210526316,Psiup,32.057416267942585,12.679425837320572,centro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
assemblea_costituente_1946,1946,1946-06-02,016051,Capriate San Gervasio,Bergamo,Lombardia,016051,historical,observed_opendata_zip,95.28795811518324,3056.0,2912.0,2733,2912,DC,45.1152579582876,Psiup,25.283571167215513,19.831686791072087,centro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
assemblea_costituente_1946,1946,1946-06-02,016052,Caprino Bergamasco,Bergamo,Lombardia,016052,historical,observed_opendata_zip,93.30734243014945,1539.0,1436.0,1336,1436,DC,58.08383233532935,Psiup,25.523952095808383,32.559880239520965,centro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
assemblea_costituente_1946,1946,1946-06-02,016053,Caravaggio,Bergamo,Lombardia,016053,historical,observed_opendata_zip,94.26229508196722,7320.0,6900.0,6511,6900,DC,42.113346644140684,Psiup,29.442481953616955,12.670864690523729,centro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
assemblea_costituente_1946,1946,1946-06-02,097014,Carenno,Bergamo,Lombardia,097014,historical,observed_opendata_zip,89.72286374133948,866.0,777.0,670,777,DC,49.40298507462686,Psiup,25.970149253731346,23.432835820895516,centro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
assemblea_costituente_1946,1946,1946-06-02,016055,Carobbio degli Angeli,Bergamo,Lombardia,016055,historical,observed_opendata_zip,95.5701394585726,1219.0,1165.0,1063,1165,DC,54.75070555032926,Psiup,28.50423330197554,26.24647224835372,centro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
assemblea_costituente_1946,1946,1946-06-02,016056,Carona,Bergamo,Lombardia,016056,historical,observed_opendata_zip,84.14634146341463,492.0,414.0,385,414,DC,68.83116883116884,Azione / IV,9.35064935064935,59.48051948051949,centro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
assemblea_costituente_1946,1946,1946-06-02,016057,Carvico,Bergamo,Lombardia,016057,historical,observed_opendata_zip,93.01903898458748,1103.0,1026.0,947,1026,DC,44.24498416050686,Psiup,34.53009503695882,9.71488912354804,centro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
assemblea_costituente_1946,1946,1946-06-02,016058,Casazza,Bergamo,Lombardia,016058,historical,observed_opendata_zip,84.88,1250.0,1061.0,1003,1061,DC,70.38883349950149,Psiup,12.462612163509473,57.92622133599201,centro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
